Ticker,Fund Name,Net Flows*,Details
QQQ,Invesco QQQ Trust,"-1,359.88",NA
JPRE,JPMorgan Realty Income ETF,-655.31,NA
ESGE,iShares ESG Aware MSCI EM ETF,-515.20,NA
COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,-419.02,NA
SHV,iShares Short Treasury Bond ETF,-411.20,NA
SPLV,Invesco S&P 500 Low Volatility ETF,-326.35,NA
ISTB,iShares Core 1-5 Year USD Bond ETF,-310.81,NA
VTI,Vanguard Total Stock Market ETF,-288.10,NA
HYDW,Xtrackers Low Beta High Yield Bond ETF,-282.59,NA
VLUE,iShares MSCI USA Value Factor ETF,-281.99,NA
